,BigFamily,ParentsLivingTogether,AtLeast1EducatedParent,ParentEducationGap,M_employed,F_employed,SupportedByFamily,GoodFamilyRelation,PerformedWell
132,0,0,0,0,1,1,1,1,0
22,0,1,1,1,1,1,0,1,0
365,1,0,1,0,1,1,1,1,1
55,1,0,0,0,1,1,0,1,0
117,1,1,0,0,1,1,0,1,1
578,1,1,0,0,1,1,1,1,0
102,1,1,1,0,1,1,1,1,0
621,1,1,0,0,1,1,0,1,0
505,1,1,0,0,0,1,1,1,0
403,1,1,0,0,1,1,1,1,1
373,0,1,0,0,1,1,1,1,0
464,1,1,0,0,0,1,0,1,0
306,0,0,1,0,1,1,1,1,1
324,1,1,0,0,0,1,0,1,0
19,0,1,1,0,1,1,0,1,0
179,1,1,0,0,1,1,1,1,0
400,1,1,1,0,1,1,0,1,1
364,1,1,1,0,1,1,0,1,1
571,1,1,0,0,0,1,0,1,0
137,1,0,0,0,1,1,0,1,0
502,0,1,0,0,1,1,1,0,0
195,1,1,0,0,1,1,0,1,0
512,1,1,0,0,0,1,1,1,0
646,1,1,0,0,1,1,0,0,0
495,1,1,0,0,1,1,0,1,0
637,1,1,0,0,1,1,0,1,0
238,1,1,1,0,1,1,1,1,1
633,0,1,1,0,1,1,0,1,0
541,1,1,0,0,1,1,0,1,0
506,1,1,0,0,0,1,0,1,0
312,1,1,0,0,1,1,1,1,1
435,0,1,0,0,0,1,1,1,0
27,1,1,1,1,1,1,0,0,0
131,1,1,0,0,1,1,1,1,0
481,1,1,0,0,0,1,1,1,0
589,0,1,0,0,0,1,0,1,0
524,0,1,1,0,0,1,1,1,0
504,0,1,0,0,1,1,0,1,0
327,0,1,0,0,0,1,1,1,1
615,0,0,0,0,1,1,0,0,1
185,1,1,0,0,1,1,1,1,1
248,0,1,0,0,1,1,1,1,0
548,1,0,0,0,0,0,0,1,0
107,1,1,0,0,1,1,1,1,0
440,1,1,0,0,0,1,1,1,0
325,0,0,1,1,1,1,0,1,0
479,1,1,0,0,1,0,1,1,0
88,1,1,0,0,1,1,0,1,0
565,0,1,0,0,0,1,0,1,0
496,0,1,0,0,1,1,1,1,0
475,1,1,0,0,1,1,1,1,0
87,1,1,1,1,1,1,1,1,1
447,1,1,0,0,1,1,0,1,0
230,1,1,1,0,1,1,0,1,0
249,1,1,0,0,0,1,0,1,0
61,1,1,0,0,1,1,1,1,1
38,1,1,1,0,1,1,1,1,0
351,1,0,0,0,1,1,0,1,1
369,1,1,0,0,1,1,0,0,0
533,0,1,0,0,1,1,0,1,1
397,1,0,0,0,0,0,1,1,0
387,1,1,0,0,1,1,0,1,1
318,1,0,0,0,1,1,0,1,0
619,1,1,0,0,1,1,1,1,0
304,1,1,0,0,0,1,1,1,0
596,1,1,1,1,1,1,1,1,1
198,1,1,0,0,1,1,1,0,1
563,1,1,0,0,1,1,0,0,0
104,1,0,1,0,1,1,1,1,1
229,0,1,0,0,1,1,0,1,1
243,1,0,0,0,1,1,0,1,1
521,1,1,0,0,0,1,1,1,0
443,0,1,1,1,1,1,1,1,0
484,0,0,0,0,1,1,1,1,0
449,1,1,0,0,1,1,0,1,0
629,1,1,0,0,1,1,0,1,0
167,1,1,1,0,1,1,1,1,0
301,1,1,1,0,1,1,1,1,0
25,1,1,0,0,1,1,1,0,0
357,1,1,1,0,1,1,1,1,1
28,0,0,1,0,1,1,1,1,0
228,0,1,1,0,1,1,1,1,0
296,1,1,0,0,1,1,0,1,1
256,1,1,0,0,1,0,1,1,0
398,1,1,0,0,0,1,1,1,0
98,1,1,1,0,1,1,0,1,0
643,1,1,1,0,1,0,1,1,0
452,1,1,0,0,1,1,1,1,0
575,1,0,1,0,1,1,1,1,0
339,0,1,0,0,1,1,1,1,1
345,0,0,1,0,1,1,1,1,1
277,1,1,0,0,1,1,1,1,0
40,0,1,0,0,1,1,1,1,0
163,0,1,0,0,1,1,0,0,0
58,0,1,0,0,1,0,1,1,0
380,1,1,1,0,1,1,1,1,0
254,0,1,0,0,0,1,1,1,0
568,1,1,0,0,0,1,0,1,0
570,1,1,0,0,1,1,1,1,0
237,1,1,0,0,1,1,1,1,0
65,0,1,1,0,1,1,1,1,1
636,1,1,1,0,1,1,0,1,1
100,1,1,1,0,1,1,1,1,0
543,1,1,1,0,1,1,0,1,0
66,1,0,1,0,1,1,1,0,0
109,0,1,1,0,1,1,1,1,0
329,1,1,0,0,1,1,1,1,0
309,1,1,1,1,1,1,1,1,0
427,1,1,0,0,0,1,0,1,1
618,0,0,0,0,0,1,0,1,1
83,0,1,0,0,1,1,0,1,0
157,0,0,0,0,0,1,1,1,0
572,1,0,0,0,1,0,1,0,0
635,1,1,0,1,0,1,1,1,0
200,1,1,0,0,1,1,1,1,0
603,0,0,1,1,1,1,0,1,0
276,1,1,0,0,1,1,0,1,1
280,0,1,0,0,1,1,1,1,0
122,0,1,1,1,1,1,1,1,0
624,1,1,0,0,1,1,1,1,0
112,1,1,0,0,0,1,0,1,0
631,1,1,0,0,1,1,0,1,0
113,0,1,1,1,1,1,0,1,1
513,1,1,0,1,1,1,0,1,0
473,0,1,0,0,0,1,1,0,0
108,1,1,1,0,1,1,1,0,0
149,1,1,1,0,1,1,1,0,0
227,1,1,0,0,1,1,1,1,0
611,1,1,0,0,1,1,0,1,1
212,1,1,1,0,1,1,1,1,1
343,1,1,1,0,1,1,1,1,1
465,1,1,0,0,1,1,1,1,0
628,1,1,0,0,1,0,0,1,0
434,0,0,0,0,0,1,0,0,0
126,0,0,1,0,1,1,0,1,0
378,1,1,0,0,1,1,0,1,1
467,1,1,0,0,1,1,1,1,0
295,0,0,1,0,1,0,1,1,0
409,0,0,1,0,1,1,0,1,1
551,1,1,0,0,1,1,1,1,0
160,1,1,0,0,0,1,0,0,0
498,1,1,0,0,1,1,1,1,0
482,0,1,0,0,0,1,1,1,0
640,1,1,1,1,1,1,0,1,0
326,0,0,0,0,1,1,0,1,0
573,1,1,0,0,1,0,1,1,0
333,1,1,0,0,1,1,1,1,0
36,0,1,1,0,1,1,1,1,0
240,1,1,0,0,1,1,0,1,1
349,1,1,0,0,1,1,1,1,1
375,0,1,0,1,0,0,0,1,1
388,1,1,0,0,1,1,0,1,0
523,0,1,1,0,0,1,1,1,0
592,1,1,0,0,1,1,1,1,0
408,0,1,0,0,1,1,1,1,0
171,1,1,0,0,0,1,0,1,0
250,0,1,0,0,1,1,0,1,1
103,1,1,0,0,1,1,1,1,0
546,1,1,1,0,1,1,1,1,1
379,1,1,0,0,1,1,1,1,0
174,0,1,0,0,0,1,0,1,0
205,1,1,0,0,0,1,0,1,0
279,1,1,0,1,1,1,0,1,0
612,1,1,1,0,1,1,1,1,0
241,0,1,0,0,1,1,1,1,0
368,0,1,1,0,1,1,1,1,0
422,1,1,0,0,1,1,1,1,0
54,0,0,0,0,1,1,0,1,0
588,1,1,1,1,1,0,1,1,0
120,1,1,0,0,0,1,0,1,0
85,1,1,1,0,1,1,0,1,0
445,1,1,0,0,1,1,1,1,0
620,0,1,1,0,0,0,1,0,1
69,0,1,0,1,1,1,1,1,1
394,1,0,0,0,1,1,1,1,1
183,1,1,1,0,1,1,1,1,1
15,1,1,1,0,1,1,1,1,1
410,1,1,0,0,1,1,1,1,1
5,0,1,1,0,1,1,1,1,0
124,1,1,0,0,1,1,0,1,0
514,1,1,0,0,1,0,0,1,0
438,1,1,0,0,1,1,1,1,0
37,1,0,1,0,1,1,1,0,0
39,1,1,0,0,0,1,1,1,0
314,1,1,0,0,0,0,1,1,1
48,1,1,1,1,1,1,1,1,0
608,0,0,0,0,0,1,0,1,0
64,0,1,1,0,1,1,0,1,0
311,1,1,0,0,1,1,1,1,0
470,1,1,0,0,1,1,1,1,0
99,1,1,1,0,1,0,1,1,0
180,1,1,0,0,1,1,0,1,0
623,0,1,1,0,1,1,0,1,1
610,1,0,0,0,0,0,1,1,0
73,1,1,0,1,1,1,0,1,0
428,0,1,0,0,0,1,0,0,0
231,0,1,0,0,1,1,1,1,0
315,1,1,0,0,1,1,1,1,1
602,0,1,0,0,1,1,0,1,0
520,0,1,0,0,0,1,1,1,0
406,1,1,0,1,1,0,1,1,0
601,1,1,0,0,1,1,1,0,0
139,1,1,1,0,1,0,1,1,1
310,1,1,0,0,1,1,1,1,0
399,1,1,0,0,1,1,0,1,1
331,1,1,0,0,1,1,0,1,0
232,1,1,0,0,0,1,1,1,0
111,1,1,0,0,1,1,1,1,0
4,1,1,0,0,1,1,1,1,0
363,1,1,1,0,1,1,1,1,0
192,1,1,1,1,1,1,1,1,0
598,0,1,0,0,0,1,1,1,0
466,1,1,0,1,1,1,1,1,0
196,1,1,1,1,1,1,1,1,1
425,1,1,0,0,0,1,1,1,0
390,1,1,0,0,0,1,0,1,0
133,1,1,0,0,0,1,1,1,0
405,0,0,0,0,0,1,0,0,0
545,1,1,1,0,1,1,1,1,0
561,0,1,0,0,0,0,1,1,0
1,1,1,0,0,0,1,1,1,0
507,0,1,0,0,1,1,1,1,0
625,1,1,0,0,0,1,1,1,0
483,1,1,0,0,1,1,1,1,0
411,0,0,1,0,1,1,1,1,1
458,1,1,0,0,1,1,1,1,0
177,1,1,0,1,0,1,0,1,0
590,1,1,0,0,1,1,0,1,0
579,0,1,0,1,0,1,0,1,0
419,1,1,0,0,1,1,0,1,0
322,1,1,0,0,1,1,1,1,0
297,1,1,0,0,1,1,0,1,0
44,0,1,0,0,1,0,0,1,0
487,0,0,0,0,1,1,1,1,0
336,1,1,1,1,1,1,1,1,1
208,1,1,0,0,1,1,0,1,0
278,1,1,0,0,1,1,0,1,0
457,0,1,0,0,0,1,1,1,0
225,0,1,1,0,1,1,1,1,0
70,1,1,0,1,1,1,1,1,0
75,1,1,1,0,1,1,1,1,0
251,1,1,0,0,1,1,0,1,0
558,1,1,0,0,1,1,0,1,0
367,0,1,0,0,1,1,0,1,0
382,1,1,0,0,0,1,1,1,0
275,1,1,0,0,1,1,1,1,0
627,0,1,0,0,0,1,1,1,0
50,0,1,0,0,1,1,1,1,0
454,1,1,0,0,1,1,1,0,0
154,0,1,0,0,0,0,0,1,0
130,1,1,1,0,1,1,1,1,0
302,1,1,0,0,1,1,0,1,0
135,1,0,1,0,1,1,0,1,0
517,0,1,0,0,1,1,0,1,1
220,1,0,0,1,1,1,1,0,0
164,0,1,0,0,0,1,0,1,0
396,0,1,1,0,1,1,0,1,1
134,0,1,0,0,1,1,1,1,0
161,1,1,1,0,1,1,1,1,0
199,1,1,0,0,1,1,1,1,0
125,1,1,1,0,1,1,0,1,0
11,1,1,0,0,1,1,1,1,0
529,0,1,1,0,1,1,1,1,0
423,1,1,0,1,0,1,1,1,0
170,1,1,0,0,0,1,1,1,0
67,1,1,0,1,1,1,1,1,0
362,1,1,1,0,1,1,1,1,0
287,0,1,0,0,1,1,1,1,0
239,1,1,0,1,1,1,0,1,0
96,1,1,1,0,1,1,1,1,0
330,1,1,0,0,1,1,0,1,0
12,0,1,1,0,1,1,1,1,0
51,0,1,1,1,1,1,1,1,1
210,1,1,1,0,1,1,0,1,0
233,1,1,0,0,0,0,1,1,0
152,0,1,0,0,1,1,1,0,0
60,1,1,1,0,1,1,1,0,1
497,1,1,0,0,1,0,1,1,0
468,1,1,0,0,1,1,0,1,0
341,1,1,1,0,1,1,1,0,0
555,1,1,0,0,1,1,1,1,0
386,1,1,1,1,0,1,1,1,1
97,1,1,0,0,1,1,1,1,0
614,1,1,1,0,1,1,1,1,0
151,1,1,1,0,1,1,1,1,0
361,1,1,1,1,1,1,1,1,0
459,1,1,0,0,0,1,1,1,0
291,0,1,0,0,1,1,0,1,0
567,1,1,0,0,1,1,0,0,0
372,1,1,0,0,1,1,1,1,0
142,0,1,0,1,1,1,0,1,0
626,1,1,1,0,1,1,1,1,0
265,0,1,0,0,0,1,0,1,1
68,0,1,0,0,1,1,1,1,0
549,1,1,1,1,1,1,1,1,1
86,0,1,0,0,0,1,1,1,0
186,0,1,1,0,1,1,1,1,0
384,1,1,0,0,0,1,1,1,0
168,1,1,0,0,0,1,0,1,0
286,1,1,0,0,1,1,0,1,0
193,1,1,1,0,1,1,1,1,0
374,1,1,0,1,1,1,1,1,1
194,1,1,1,0,1,1,1,1,0
245,1,1,0,0,1,1,1,1,0
41,0,1,1,0,1,1,1,1,0
153,1,1,1,0,1,1,1,1,0
252,1,0,1,1,1,1,0,1,0
101,1,1,1,0,1,1,1,1,1
645,0,1,0,1,1,1,1,1,1
569,1,1,0,0,0,0,1,1,0
492,1,0,0,0,1,1,0,1,0
236,1,1,0,0,1,1,0,0,0
381,1,1,1,0,1,1,1,1,1
155,1,1,0,0,1,1,1,1,0
335,0,0,1,0,1,1,1,1,1
442,0,1,1,1,1,1,1,1,0
184,1,1,1,0,1,1,1,1,0
159,1,1,0,0,0,1,1,1,0
246,1,1,1,0,1,1,1,1,0
215,1,1,0,0,1,1,1,1,0
597,1,1,0,0,0,1,0,1,0
486,1,1,0,0,1,1,1,1,0
201,0,1,0,0,1,1,0,1,1
566,1,1,0,0,1,1,1,1,0
460,1,1,0,0,0,1,1,1,0
224,1,1,0,0,1,1,1,1,0
564,1,1,0,0,1,1,0,1,0
188,0,1,0,0,1,1,1,1,1
294,1,1,0,0,1,1,0,1,0
437,1,1,0,1,1,1,1,1,0
244,0,1,1,0,1,1,0,1,0
176,0,1,0,0,1,1,0,1,0
158,1,1,0,0,1,1,1,1,0
123,1,1,1,0,1,1,1,1,0
82,0,1,0,0,1,1,1,1,0
273,1,1,0,0,1,1,1,1,0
417,1,1,0,0,0,1,1,1,1
234,1,1,0,0,0,1,1,1,0
138,1,1,1,0,0,1,1,1,0
371,1,1,0,0,1,1,1,1,0
78,1,1,0,0,1,1,1,1,0
538,0,1,0,0,1,1,1,1,0
262,0,0,1,1,1,1,1,1,0
264,0,0,0,0,1,1,1,1,0
539,0,1,1,1,1,1,1,0,0
516,1,1,1,0,1,1,0,1,1
534,0,1,1,0,1,1,1,1,0
582,0,0,0,0,0,1,1,0,0
515,0,1,0,0,1,0,0,0,0
42,1,1,1,0,1,1,1,1,1
462,1,1,0,0,0,0,1,1,0
289,0,1,1,1,1,1,1,1,1
518,1,0,1,1,1,1,1,0,0
429,0,0,1,0,0,1,1,1,0
413,0,1,0,0,0,1,1,1,0
639,1,1,0,0,1,1,0,1,0
587,0,1,0,0,1,1,1,0,0
79,1,1,1,0,0,1,1,0,0
634,1,1,0,0,1,1,0,1,1
43,1,1,0,0,1,1,1,1,0
401,1,1,1,0,1,1,1,1,0
509,0,1,0,0,0,1,1,1,1
259,0,1,0,0,0,0,1,1,0
274,1,1,0,0,0,1,0,1,0
288,0,0,0,0,1,1,1,1,0
478,1,1,0,0,0,1,1,1,0
441,1,1,0,0,1,1,0,1,0
203,1,1,0,0,0,1,0,1,0
537,0,0,0,0,1,1,0,1,0
282,1,1,0,0,1,1,0,1,0
6,0,1,0,0,1,1,0,1,0
255,1,1,0,0,1,1,0,1,0
485,1,1,0,0,0,1,1,1,0
617,0,1,0,0,0,1,0,1,1
144,1,1,0,0,1,1,1,1,0
190,1,1,0,0,1,1,0,1,0
647,0,1,0,1,1,1,0,0,0
469,1,1,1,0,1,1,1,1,0
552,1,1,0,0,1,1,1,1,0
118,1,1,0,1,1,1,1,1,0
162,0,0,0,0,1,1,0,1,0
583,1,1,0,0,1,1,0,1,0
404,1,1,0,0,1,1,1,1,1
393,0,1,0,0,1,1,1,1,1
218,1,1,0,0,1,1,1,1,0
223,1,1,1,0,1,1,1,1,0
271,1,1,1,0,1,1,1,1,0
474,0,1,0,1,0,1,1,1,0
355,1,1,0,0,1,1,0,1,0
